id,name,category,domain,description,data_sources,priority,status,toast_relationship,build_strategy
228,Slotting Optimization by Velocity,Storage & Location,inventory,Fast movers to bar reach,storage_locations,tier2,planned,wineops_only,build
229,Multi-Zone Split-Stock Tracker,Storage & Location,inventory,Same SKU across multiple zones,storage_locations,tier2,planned,wineops_only,build
230,Retrieval Path Time Study,Storage & Location,inventory,Seconds to retrieve during service,storage_locations,tier2,planned,wineops_only,build
231,Storage Capacity Forecast,Storage & Location,inventory,Zone full-in-X-days projection,storage_locations,tier2,planned,wineops_only,build
232,Cross-Contamination Zone Audit,Storage & Location,compliance,Wrong temp/humidity zone flags,storage_locations,tier2,planned,wineops_only,build
233,Dead Zone Identifier,Storage & Location,inventory,Rarely accessed storage locations,storage_locations,tier3,planned,wineops_only,build
234,Dynamic Par Level Engine,Replenishment & Par Levels,inventory,Weekly recalculated min/max,,tier1,planned,wineops_only,build
235,Par Level Breach Predictor,Replenishment & Par Levels,inventory,"Predict when par hit, not just alert",,tier1,planned,wineops_only,build
236,Stockout Probability Score,Replenishment & Par Levels,inventory,P(stockout) before next delivery,,tier1,planned,wineops_only,build
237,Overstock Detector,Replenishment & Par Levels,inventory,SKUs with >X weeks cover,,tier1,planned,wineops_only,build
238,Reorder Point vs Actual Behavior Gap,Replenishment & Par Levels,inventory,System vs manager reorder timing,,tier2,planned,wineops_only,build
239,Safety Stock Adequacy Monitor,Replenishment & Par Levels,inventory,Safety stock used vs idle,,tier2,planned,wineops_only,build
240,Substitute-Aware Replenishment,Replenishment & Par Levels,inventory,Downgrade urgency if substitutes stocked,,tier2,planned,wineops_only,build
241,Fill Rate Tracker,Replenishment & Par Levels,inventory,% demand met from on-hand stock,,tier1,planned,wineops_only,build
242,Inventory Turnover Ratio (per SKU),Movement & Velocity,inventory,COGS ÷ avg inventory value,,tier1,planned,wineops_only,build
243,Days Inventory Outstanding (DIO),Movement & Velocity,inventory,Avg days bottle sits before sale,,tier1,planned,wineops_only,build
244,Velocity Acceleration/Deceleration,Movement & Velocity,inventory,Sell-through rate second derivative,,tier2,planned,wineops_only,build
245,Sell-Through Rate by Delivery Batch,Movement & Velocity,inventory,How fast each delivery batch moves,,tier2,planned,wineops_only,build
246,Stock-to-Sales Ratio Trend,Movement & Velocity,inventory,Inventory value / sales over time,,tier2,planned,wineops_only,build
247,FIFO Compliance,Movement & Velocity,inventory,Older bottles leaving before newer,,tier2,planned,wineops_only,build
248,Movement Frequency Classification,Movement & Velocity,inventory,Fast/medium/slow/non-moving buckets,,tier1,planned,wineops_only,build
249,Real-Time Inventory Valuation,Valuation & Financial Inventory,inventory,Live total $ on hand FIFO/weighted avg,,tier1,planned,wineops_only,build
250,Valuation by Aging Bucket,Valuation & Financial Inventory,inventory,Value by 0-30/31-60/61-90/90+ days held,,tier1,planned,wineops_only,build
251,Dead Stock Capital Report,Valuation & Financial Inventory,inventory,$ locked in zero-velocity with liquidation list,,tier1,planned,wineops_only,build
252,Carrying Cost per SKU,Valuation & Financial Inventory,inventory,Full holding cost per bottle/day,,tier2,planned,wineops_only,build
253,Inventory Shrinkage Rate (%),Valuation & Financial Inventory,inventory,"Shrinkage % of total value, monthly",,tier1,planned,wineops_only,build
254,Write-Off Ledger,Valuation & Financial Inventory,inventory,Every write-off with $ and reason,,tier1,planned,wineops_only,build
255,Landed Cost Inventory Basis,Valuation & Financial Inventory,inventory,Value at true landed cost not invoice,,tier1,planned,wineops_only,build
256,Drink-Window Compliance Monitor,Aging & Lifecycle,inventory,Peak/exit window alerts per vintage,wine ontology,tier2,planned,wineops_only,build
257,Inventory Age Pyramid,Aging & Lifecycle,inventory,Stock distribution by age,,tier2,planned,wineops_only,build
258,Vintage Rotation Priority List,Aging & Lifecycle,inventory,What to sell/feature next,,tier2,planned,wineops_only,build
259,Spoilage Risk Forecast,Aging & Lifecycle,inventory,BTG bottles spoiling before sellout,,tier2,planned,wineops_only,build
260,Slow-Mover Intervention Tracker,Aging & Lifecycle,inventory,Intervention → velocity response,,tier2,planned,wineops_only,build
261,Vintage Transition Manager,Aging & Lifecycle,inventory,Old vintage sell-down + new phase-in,,tier2,planned,wineops_only,build
262,Inter-Branch Stock Balancing,Multi-Location Inventory,multi_location,Overstock A / stockout B transfer rec,,tier2,planned,wineops_only,build
263,Transfer Cost vs Reorder Cost,Multi-Location Inventory,multi_location,Transfer vs fresh order economics,,tier2,planned,wineops_only,build
264,Consolidated Stock Position,Multi-Location Inventory,multi_location,Group-wide stock per SKU,,tier1,planned,wineops_only,build
265,Branch Inventory Accuracy Ranking,Multi-Location Inventory,multi_location,IRA % per branch,,tier2,planned,wineops_only,build
266,Location-Level Turnover Comparison,Multi-Location Inventory,multi_location,Same SKU turnover across branches,,tier2,planned,wineops_only,build
267,Concentration Risk (Stock),Inventory Risk,risk,% inventory value in few SKUs,,tier2,planned,wineops_only,build
268,Single-Vendor Stock Dependency,Inventory Risk,risk,100% stock from one vendor,,tier2,planned,wineops_only,build
269,Event Stock Adequacy Pre-Check,Inventory Risk,inventory,Pre-event stock vs projected consumption,calendar_events,tier1,planned,wineops_only,build
270,Seasonal Stock Readiness Score,Inventory Risk,inventory,NYE/Valentine's readiness %,"calendar, POS",tier1,planned,wineops_only,build
271,Supply Disruption Simulator,Inventory Risk,risk,Vendor outage 3-week stockout timeline,,tier3,planned,wineops_only,build
272,Auto-Reorder Draft Generator,Inventory Automation,procurement,Consolidated PO draft at reorder point,,tier1,planned,wineops_only,build
273,Anomaly-Triggered Recount Request,Inventory Automation,inventory,Impossible velocity → targeted recount,,tier2,planned,wineops_only,build
274,Inventory Health Composite Score,Inventory Automation,inventory,Single 0-100 inventory health score,,tier1,planned,wineops_only,build
275,Natural-Language Inventory Query,Inventory Automation,ai,How many Caymus and where? via AI,"Sommelier AI, inventory",tier2,planned,wineops_only,build
276,Labor Cost % of Sales,Labor & Staffing,labor,Labor dollars as % of revenue — the core staffing KPI,Toast Labor API,tier1,planned,toast_native,import
277,Prime Cost Dashboard,Labor & Staffing,labor,COGS + labor as % of revenue — the #1 restaurant health metric,Toast + invoices,tier1,planned,toast_overlap,build
278,Sales Per Labor Hour (SPLH),Labor & Staffing,labor,Revenue generated per labor hour worked,Toast Labor API,tier1,planned,toast_native,import
279,Scheduled vs Actual Labor Hours,Labor & Staffing,labor,Planned schedule vs clocked hours variance,Toast Labor API,tier2,planned,toast_native,import
280,Overtime Cost Tracker,Labor & Staffing,labor,OT hours and premium cost by employee/department,Toast Labor API,tier2,planned,toast_native,import
281,Labor Cost per Cover,Labor & Staffing,labor,Staffing cost divided by guests served,Toast Labor + checks,tier2,planned,toast_native,import
282,Department Labor Split,Labor & Staffing,labor,BOH vs FOH vs bar labor cost breakdown,Toast Labor API,tier2,planned,toast_native,import
283,Break Compliance Monitor,Labor & Staffing,labor,Mandated break adherence by shift,Toast Labor API,tier3,planned,toast_native,import
284,Employee Turnover & Retention,Labor & Staffing,labor,Staff churn rate and tenure trends,Toast Labor API,tier2,planned,toast_overlap,build
285,Clock-In Punctuality,Labor & Staffing,labor,Late/early clock-in patterns by employee,Toast Labor API,tier3,planned,toast_native,import
286,Labor Demand Forecast vs Schedule,Labor & Staffing,labor,Predicted covers vs scheduled staff — over/understaffing risk,Toast + demand forecast,tier3,planned,wineops_bridge,bridge
287,Wine Staff Productivity,Labor & Staffing,labor,Bar/sommelier labor cost vs wine revenue generated (extends #196),Toast Labor + wine sales,tier2,planned,wineops_bridge,bridge
288,Tip Pool Distribution Ledger,Labor & Staffing,labor,How pooled tips are split across staff,Toast Payments API,tier2,planned,toast_native,import
289,Tips by Server,Tips & Gratuity,labor,Tip totals and average per server,Toast Payments API,tier2,planned,toast_native,import
290,Tip % Trend Analysis,Tips & Gratuity,labor,Tip percentage trends over time and by shift,Toast Payments API,tier3,planned,toast_native,import
291,Auto-Gratuity Tracking,Tips & Gratuity,labor,Auto-grat applied on large parties vs manual tips,Toast Payments API,tier3,planned,toast_native,import
292,Wine Sales ↔ Tip Correlation,Tips & Gratuity,labor,Do servers who sell more wine earn higher tips?,Toast tips + wine sales,tier2,planned,wineops_bridge,bridge
293,Tip-Out Compliance,Tips & Gratuity,labor,Support-staff tip-out adherence to policy,Toast Payments API,tier3,planned,toast_native,import
294,Full-Restaurant P&L,Prime Cost & Full P&L,financial,Food + beverage + labor income statement (not wine-only),Toast + invoices,tier1,planned,toast_overlap,build
295,Food COGS %,Prime Cost & Full P&L,financial,Food cost ratio (complements wine COGS #68),"invoices, Toast",tier1,planned,toast_overlap,build
296,Controllable Expense Tracker,Prime Cost & Full P&L,financial,"Controllable costs vs revenue (labor, COGS, supplies)",Toast + accounting,tier2,planned,toast_overlap,build
297,Full-Restaurant Break-Even,Prime Cost & Full P&L,financial,Covers/revenue needed to break even (extends wine-only #187),Toast + fixed costs,tier2,planned,toast_overlap,build
298,Beverage vs Food Revenue Mix,Prime Cost & Full P&L,financial,"Revenue split across food, wine, beer, spirits, NA",Toast Sales API,tier1,planned,toast_native,import
299,Wine as % of Total Revenue,Prime Cost & Full P&L,financial,Wine program share of total and beverage revenue,Toast + wine sales,tier1,planned,wineops_bridge,bridge
300,Product Mix Report (All Items),Full Menu PMIX,menu,Full menu item-level sales breakdown (food + bev),Toast Menu API,tier1,planned,toast_native,import
301,Full Menu Engineering Matrix,Full Menu PMIX,menu,Stars/Plowhorses/Puzzles/Dogs across the whole menu,Toast PMIX + COGS,tier2,planned,toast_overlap,build
302,Food Item Profitability,Full Menu PMIX,menu,Gross profit and margin per food item,Toast Menu API,tier2,planned,toast_native,import
303,Modifier Sales Analysis,Full Menu PMIX,menu,"Top/bottom modifiers, attach and revenue",Toast Menu API,tier2,planned,toast_native,import
304,Food-Wine Attach Rate,Full Menu PMIX,menu,Which entrées drive wine sales on the same check,Toast checks + wine detection,tier1,planned,wineops_bridge,bridge
305,Menu Item Velocity (Food),Full Menu PMIX,menu,Units/day per food item with trend,Toast Menu API,tier2,planned,toast_native,import
306,Combo / Entrée Attach Rate,Full Menu PMIX,menu,Which items sell together (full menu),Toast checks,tier3,planned,toast_native,import
307,Course Timing & Pacing,Full Menu PMIX,operations,Time between courses fired per table,Toast/KDS,tier3,planned,toast_native,import
308,Payment Method Mix,Payments & Reconciliation,payments,Card vs cash vs mobile vs gift split,Toast Payments API,tier2,planned,toast_native,import
309,Credit Card Processing Fees,Payments & Reconciliation,payments,Total and effective card fee cost,Toast Payments API,tier1,planned,toast_native,import
310,Payout / Deposit Reconciliation,Payments & Reconciliation,payments,Bank deposits vs POS sales matching,Toast Payout API,tier1,planned,toast_native,import
311,Chargeback & Dispute Tracker,Payments & Reconciliation,payments,"Chargeback volume, reasons, recovery",Toast Payments API,tier2,planned,toast_native,import
312,Gift Card Liability & Redemption,Payments & Reconciliation,payments,Outstanding gift card liability and redemption rate,Toast Payments API,tier2,planned,toast_native,import
313,Settlement Timing Analysis,Payments & Reconciliation,payments,Time from sale to bank settlement,Toast Payout API,tier3,planned,toast_native,import
314,Effective Processing Rate,Payments & Reconciliation,payments,Blended % processing cost across payment types,Toast Payments API,tier2,planned,toast_native,import
315,Cash Over/Short Tracker,Cash & Loss Management,payments,Drawer cash discrepancies over time,Toast Cash API,tier2,planned,toast_native,import
316,Paid-In / Paid-Out Log,Cash & Loss Management,payments,Non-sale cash movements audit,Toast Cash API,tier3,planned,toast_native,import
317,Cash Drawer Variance by Employee,Cash & Loss Management,payments,Over/short attributed to individual staff,Toast Cash API,tier2,planned,toast_native,import
318,Discount by Reason Code,Cash & Loss Management,financial,Full-restaurant discounts/comps by reason (extends wine #190),Toast Sales API,tier2,planned,toast_native,import
319,Refund Analysis,Cash & Loss Management,financial,"Refund volume, value, reasons, staff",Toast Sales API,tier2,planned,toast_native,import
320,Deposit Tracking,Cash & Loss Management,payments,Daily bank deposit vs expected cash,Toast Cash API,tier3,planned,toast_native,import
321,Guest Visit Frequency,Guest & CRM,guest,How often guests return (visits/period),Toast Guest API,tier2,planned,toast_native,import
322,New vs Returning Guest Mix,Guest & CRM,guest,Share of new vs repeat guests,Toast Guest API,tier2,planned,toast_native,import
323,Guest Lifetime Value,Guest & CRM,guest,Cumulative spend per guest over time,Toast Guest API,tier2,planned,toast_overlap,build
324,Average Check by Guest Segment,Guest & CRM,guest,Check size across guest cohorts,Toast Guest API,tier3,planned,toast_native,import
325,Wine Spend by Guest Segment,Guest & CRM,guest,Do loyal/high-value guests buy more wine?,Toast Guest + wine sales,tier2,planned,wineops_bridge,bridge
326,Reservation vs Walk-In Analysis,Guest & CRM,guest,Wine spend and covers by booking type (bridges calendar),Toast + calendar,tier3,planned,wineops_bridge,bridge
327,Identified Repeat Wine Buyer,Guest & CRM,guest,Loyalty-ID linked wine reorders (upgrades anonymized #126),Toast Guest + wine sales,tier3,planned,wineops_bridge,bridge
328,Guest Wine Preference Profile,Guest & CRM,guest,Per-guest favored styles/producers for server prompts,Toast Guest + wine sales,tier2,planned,wineops_bridge,bridge
329,Loyalty Enrollment Rate,Loyalty & Marketing,marketing,Guests enrolling in loyalty program,Toast Loyalty,tier3,planned,toast_native,import
330,Marketing Campaign ROI,Loyalty & Marketing,marketing,Revenue lift attributable to campaigns,Toast Marketing,tier3,planned,toast_native,import
331,Gift Card Sales Performance,Loyalty & Marketing,marketing,Gift card sales volume and trends,Toast Payments,tier3,planned,toast_native,import
332,POS Promotion Redemption,Loyalty & Marketing,marketing,Guest-facing promo redemption (distinct from vendor promos #42-46),Toast Sales API,tier2,planned,toast_overlap,build
333,Guest Email/SMS Performance,Loyalty & Marketing,marketing,Open/click/redemption on guest marketing,Toast Marketing,tier3,planned,toast_native,import
334,Wine Club / Wine Promotion ROI,Loyalty & Marketing,marketing,ROI of wine-specific promotions and clubs,Toast + wine sales,tier2,planned,wineops_bridge,bridge
335,Channel Mix,Order Channel & Service Mode,sales,Dine-in vs takeout vs delivery vs online revenue,Toast Sales API,tier1,planned,toast_native,import
336,Online Ordering Performance,Order Channel & Service Mode,sales,"Toast online order volume, AOV, conversion",Toast Online,tier2,planned,toast_native,import
337,Third-Party Delivery Analytics,Order Channel & Service Mode,sales,DoorDash/UberEats volume and fees via Toast,Toast Delivery,tier2,planned,toast_native,import
338,Revenue Center Breakdown,Order Channel & Service Mode,sales,Bar vs dining room vs patio revenue,Toast Sales API,tier1,planned,toast_native,import
339,Daypart / Dining Option Analysis,Order Channel & Service Mode,sales,Lunch vs dinner vs late-night performance (extends #11),Toast Sales API,tier1,planned,toast_native,import
340,Table Section Performance,Order Channel & Service Mode,sales,Revenue and turns by floor section,Toast Sales API,tier2,planned,toast_native,import
341,Wine Sales by Channel,Order Channel & Service Mode,sales,Does takeout/delivery/online include wine?,Toast + wine sales,tier2,planned,wineops_bridge,bridge
342,Wine Sales by Revenue Center,Order Channel & Service Mode,sales,Bar vs dining wine sales split,Toast + wine sales,tier1,planned,wineops_bridge,bridge
343,Speed of Service / Ticket Times,Kitchen & Operations,operations,Order-to-serve times by station/shift,Toast/KDS,tier2,planned,toast_native,import
344,Kitchen Throughput,Kitchen & Operations,operations,Tickets/hour and bottleneck detection,Toast/KDS,tier3,planned,toast_native,import
345,Live 86 List (Out-of-Stock),Kitchen & Operations,operations,Items currently unavailable from POS in real time,Toast Menu API,tier1,planned,toast_native,import
346,Order Accuracy / Remake Rate,Kitchen & Operations,operations,Voids/remakes signaling kitchen errors,Toast/KDS,tier3,planned,toast_native,import
347,Wine Service Timing,Kitchen & Operations,operations,Time from wine order to pour/delivery to table,Toast + wine sales,tier3,planned,wineops_bridge,bridge
348,Full Sales Tax Liability,Tax & Full Compliance,compliance,All-category sales tax accrual (extends beverage-only #201),Toast Sales API,tier2,planned,toast_native,import
349,Service Charge Reporting,Tax & Full Compliance,compliance,Service charges collected and distributed,Toast Payments,tier3,planned,toast_native,import
350,Gratuity Tax Handling,Tax & Full Compliance,compliance,Taxable vs non-taxable gratuity reporting,Toast Payments,tier3,planned,toast_native,import
351,Multi-Jurisdiction Tax Rollup,Tax & Full Compliance,compliance,Tax across locations in different jurisdictions,Toast + multi-location,tier3,planned,toast_overlap,build
352,Same-Store Sales Growth,Multi-Location POS Compare,multi_location,Comparable-location YoY sales growth (comps),Toast Analytics API,tier1,planned,toast_native,import
353,Cross-Location Sales Ranking,Multi-Location POS Compare,multi_location,Rank all locations by any sales metric,Toast Analytics API,tier2,planned,toast_native,import
354,Location Performance Scorecard,Multi-Location POS Compare,multi_location,Full-restaurant KPIs side-by-side by location,Toast Analytics API,tier2,planned,toast_overlap,build
355,Wine Program Cross-Location Compare,Multi-Location POS Compare,multi_location,Wine velocity/margin across branches (extends #198),Toast + wine sales,tier2,planned,wineops_bridge,bridge
356,Toast Analytics API Ingestion Pipeline,Toast Integration Layer,integration,Scheduled pull of Toast aggregated metrics into WineOps (the enabler),Toast /era/v1/metrics,tier1,planned,integration,import
357,Check-Level Data Import,Toast Integration Layer,integration,Per-check line items for attach-rate and cover analytics,Toast Check API,tier1,planned,integration,import
358,Labor Data Import,Toast Integration Layer,integration,Employee/job/hours feed powering labor analytics,Toast Labor API,tier2,planned,integration,import
359,Guest Data Import,Toast Integration Layer,integration,Guest/payment-card feed powering CRM analytics,Toast Guest API,tier2,planned,integration,import
360,Aggregated Sales Metrics Sync,Toast Integration Layer,integration,Daily/weekly sales+labor rollups cached for dashboards,Toast /era/v1/metrics,tier1,planned,integration,import
